Symbol,Name
000080.KS,HiteJinro
000100.KS,Yuhan
000120.KS,CJ Logistics
000150.KS,Doosan
000210.KS,DL
000240.KS,Hankook & Company
000270.KS,Kia
000660.KS,SK Hynix
000670.KS,Young Poong
000720.KS,Hyundai E&C
000810.KS,Samsung Fire & Marine
000880.KS,Hanwha
001040.KS,CJ
001430.KS,Seah Besteel
001440.KS,Taihan Cable & Solution
001450.KS,Hyundai Marine & Fire
001680.KS,Daesang
001800.KS,Orion Holdings
002030.KS,Asia Holdings
002380.KS,KCC
002790.KS,Amorepacific Holdings
002840.KS,Miwon Commercial
003030.KS,Seah Steel Holdings
003090.KS,Daewoong
003230.KS,Samyang Foods
003240.KS,Taekwang Industrial
003490.KS,Korean Air
003550.KS,LG
003670.KS,POSCO Future M
004000.KS,Lotte Fine Chemical
004020.KS,Hyundai Steel
004170.KS,Shinsegae
004370.KS,Nongshim
004490.KS,Sebang Global Battery
004990.KS,Lotte
005250.KS,Green Cross Holdings
005300.KS,Lotte Chilsung
005380.KS,Hyundai Motor
005420.KS,Cosmo Chemical
005490.KS,POSCO
005830.KS,DB Insurance
005850.KS,SL
005930.KS,Samsung Electronics
005940.KS,NH Investment & Securities
006040.KS,Dongwon Industries
006260.KS,LS
006280.KS,Green Cross
006360.KS,GS E&C
006400.KS,Samsung SDI
006650.KS,Korea Petrochemical
006800.KS,Mirae Asset Securities
007070.KS,GS Retail
007310.KS,Ottogi
007340.KS,DN Automotive
007660.KS,Isu Petasys
008730.KS,Youlchon Chemical
008770.KS,Hotel Shilla
008930.KS,Hanmi Science
009150.KS,Samsung Electro-Mechanics
009240.KS,Hanssem
009420.KS,Hanall Biopharma
009540.KS,HD KSOE
009830.KS,Hanwha Solutions
009970.KS,Youngone Holdings
010060.KS,OCI Holdings
010120.KS,LS Electric
010130.KS,Korea Zinc
010140.KS,Samsung Heavy Industries
010950.KS,S-Oil
011070.KS,LG Innotek
011170.KS,Lotte Chemical
011200.KS,HMM
011210.KS,Hyundai WIA
011780.KS,Kumho Petrochemical
011790.KS,SKC
012330.KS,Hyundai Mobis
012450.KS,Hanwha Aerospace
0126Z0.KS,Samsung Epis
012750.KS,S-1
014680.KS,Hansol Chemical
014820.KS,Dongwon Systems
015760.KS,KEPCO
016360.KS,Samsung Securities
017670.KS,SK Telecom
017800.KS,Hyundai Elevator
017960.KS,Hankuk Carbon
018260.KS,Samsung SDS
018880.KS,Hanon Systems
021240.KS,Coway
022100.KS,POSCO DX
023530.KS,Lotte Shopping
024110.KS,Industrial Bank of Korea
026960.KS,Dongsuh
028050.KS,Samsung E&A
028260.KS,Samsung C&T
028670.KS,Pan Ocean
029780.KS,Samsung Card
030000.KS,Cheil Worldwide
030200.KS,KT
032640.KS,LG Uplus
032830.KS,Samsung Life
033780.KS,KT&G
034020.KS,Doosan Enerbility
034220.KS,LG Display
034230.KS,Paradise
034730.KS,SK
035250.KS,Kangwon Land
035420.KS,Naver
035720.KS,Kakao
036460.KS,Korea Gas
036570.KS,NCSoft
039490.KS,Kiwoom Securities
042660.KS,Hanwha Ocean
042700.KS,Hanmi Semiconductor
047040.KS,Daewoo E&C
047050.KS,POSCO International
047810.KS,Korea Aerospace
051600.KS,KEPCO KPS
051900.KS,LG H&H
051910.KS,LG Chem
052690.KS,KEPCO E&C
055550.KS,Shinhan Financial
062040.KS,Sanil Electric
064350.KS,Hyundai Rotem
064400.KS,LG CNS
066570.KS,LG Electronics
066970.KS,L&F
068270.KS,Celltrion
069260.KS,TKG Huchems
069620.KS,Daewoong Pharmaceutical
069960.KS,Hyundai Department Store
071050.KS,Korea Investment
071320.KS,Korea District Heating
071970.KS,HD Hyundai Marine Engine
073240.KS,Kumho Tire
078930.KS,GS
079550.KS,LIG Nex1
081660.KS,Misto
082740.KS,Hanwha Engine
086280.KS,Hyundai Glovis
086790.KS,Hana Financial
088350.KS,Hanwha Life
090430.KS,Amorepacific
093370.KS,Foosung
096770.KS,SK Innovation
097950.KS,CJ CheilJedang
103140.KS,Poongsan
105560.KS,KB Financial
111770.KS,Youngone
112610.KS,CS Wind
114090.KS,Grand Korea Leisure
120110.KS,Kolon Industries
128940.KS,Hanmi Pharm
137310.KS,SD Biosensor
138040.KS,Meritz Financial
138930.KS,BNK Financial
139130.KS,IM Financial
139480.KS,Emart
161390.KS,Hankook
161890.KS,Kolmar Korea
175330.KS,JB Financial
180640.KS,Hanjin KAL
185750.KS,Chong Kun Dang
192080.KS,DoubleU Games
192820.KS,Cosmax
204320.KS,HL Mando
207940.KS,Samsung Biologics
241560.KS,Doosan Bobcat
251270.KS,Netmarble
259960.KS,Krafton
267250.KS,HD Hyundai
267260.KS,HD Hyundai Electric
268280.KS,Miwon Specialty Chemical
271560.KS,Orion
272210.KS,Hanwha Systems
278470.KS,APR
280360.KS,Lotte Wellfood
282330.KS,BGF Retail
285130.KS,SK Chemicals
298020.KS,Hyosung TNC
298040.KS,Hyosung Heavy Industries
298050.KS,HS Hyosung Advanced Materials
300720.KS,Hanil Cement
302440.KS,SK Bioscience
307950.KS,Hyundai AutoEver
316140.KS,Woori Financial
323410.KS,KakaoBank
326030.KS,SK Biopharm
329180.KS,HD Hyundai Heavy Industries
352820.KS,Hybe
361610.KS,SK IE Technology
373220.KS,LG Energy Solution
375500.KS,DL E&C
377300.KS,KakaoPay
383220.KS,F&F
402340.KS,SK Square
443060.KS,HD Hyundai Marine Solution
450080.KS,Ecopro Materials
454910.KS,Doosan Robotics
457190.KS,Isu Specialty Chemical
