Symbol,Name
360ONE.NS,360 ONE WAM Ltd.
3MINDIA.NS,3M India Ltd.
ACC.NS,ACC Ltd.
AIAENG.NS,AIA Engineering Ltd.
APLAPOLLO.NS,APL Apollo Tubes Ltd.
AUBANK.NS,AU Small Finance Bank Ltd.
AWL.NS,AWL Agri Business Ltd.
ABBOTINDIA.NS,Abbott India Ltd.
ATGL.NS,Adani Total Gas Ltd.
ABCAPITAL.NS,Aditya Birla Capital Ltd.
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.
ALKEM.NS,Alkem Laboratories Ltd.
ANTHEM.NS,Anthem Biosciences Ltd.
APARINDS.NS,Apar Industries Ltd.
APOLLOTYRE.NS,Apollo Tyres Ltd.
ASHOKLEY.NS,Ashok Leyland Ltd.
ASTRAL.NS,Astral Ltd.
AUROPHARMA.NS,Aurobindo Pharma Ltd.
AIIL.NS,Authum Investment & Infrastructure Ltd.
BSE.NS,BSE Ltd.
BAJAJHFL.NS,Bajaj Housing Finance Ltd.
BALKRISIND.NS,Balkrishna Industries Ltd.
BANKINDIA.NS,Bank of India
MAHABANK.NS,Bank of Maharashtra
BERGEPAINT.NS,Berger Paints India Ltd.
BDL.NS,Bharat Dynamics Ltd.
BHARATFORG.NS,Bharat Forge Ltd.
BHEL.NS,Bharat Heavy Electricals Ltd.
BHARTIHEXA.NS,Bharti Hexacom Ltd.
GROWW.NS,Billionbrains Garage Ventures Ltd.
BIOCON.NS,Biocon Ltd.
BLUESTARCO.NS,Blue Star Ltd.
CRISIL.NS,CRISIL Ltd.
COCHINSHIP.NS,Cochin Shipyard Ltd.
COFORGE.NS,Coforge Ltd.
COLPAL.NS,Colgate Palmolive (India) Ltd.
CONCOR.NS,Container Corporation of India Ltd.
COROMANDEL.NS,Coromandel International Ltd.
DABUR.NS,Dabur India Ltd.
DALBHARAT.NS,Dalmia Bharat Ltd.
DIXON.NS,Dixon Technologies (India) Ltd.
ENDURANCE.NS,Endurance Technologies Ltd.
ESCORTS.NS,Escorts Kubota Ltd.
EXIDEIND.NS,Exide Industries Ltd.
NYKAA.NS,FSN E-Commerce Ventures Ltd.
FEDERALBNK.NS,Federal Bank Ltd.
FORTIS.NS,Fortis Healthcare Ltd.
GVT&D.NS,GE Vernova T&D India Ltd.
GMRAIRPORT.NS,GMR Airports Ltd.
GICRE.NS,General Insurance Corporation of India
GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.
MEDANTA.NS,Global Health Ltd.
GODFRYPHLP.NS,Godfrey Phillips India Ltd.
GODREJIND.NS,Godrej Industries Ltd.
GODREJPROP.NS,Godrej Properties Ltd.
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.
HDBFS.NS,HDB Financial Services Ltd.
HAVELLS.NS,Havells India Ltd.
HEROMOTOCO.NS,Hero MotoCorp Ltd.
HEXT.NS,Hexaware Technologies Ltd.
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.
POWERINDIA.NS,Hitachi Energy India Ltd.
HONAUT.NS,Honeywell Automation India Ltd.
HUDCO.NS,Housing & Urban Development Corporation Ltd.
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.
ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.
IDFCFIRSTB.NS,IDFC First Bank Ltd.
ITCHOTELS.NS,ITC Hotels Ltd.
INDIANB.NS,Indian Bank
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.
IREDA.NS,Indian Renewable Energy Development Agency Ltd.
INDUSTOWER.NS,Indus Towers Ltd.
INDUSINDBK.NS,IndusInd Bank Ltd.
NAUKRI.NS,Info Edge (India) Ltd.
IPCALAB.NS,Ipca Laboratories Ltd.
JKCEMENT.NS,J.K. Cement Ltd.
JSWENERGY.NS,JSW Energy Ltd.
JSWINFRA.NS,JSW Infrastructure Ltd.
JSL.NS,Jindal Stainless Ltd.
JUBLFOOD.NS,Jubilant Foodworks Ltd.
KPRMILL.NS,K.P.R. Mill Ltd.
KEI.NS,KEI Industries Ltd.
KPITTECH.NS,KPIT Technologies Ltd.
KALYANKJIL.NS,Kalyan Jewellers India Ltd.
LTF.NS,L&T Finance Ltd.
LTTS.NS,L&T Technology Services Ltd.
LGEINDIA.NS,LG Electronics India Ltd.
LICHSGFIN.NS,LIC Housing Finance Ltd.
LAURUSLABS.NS,Laurus Labs Ltd.
LENSKART.NS,Lenskart Solutions Ltd.
LICI.NS,Life Insurance Corporation of India
LINDEINDIA.NS,Linde India Ltd.
LLOYDSME.NS,Lloyds Metals And Energy Ltd.
LUPIN.NS,Lupin Ltd.
MRF.NS,MRF Ltd.
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.
MANKIND.NS,Mankind Pharma Ltd.
MARICO.NS,Marico Ltd.
MFSL.NS,Max Financial Services Ltd.
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.
MPHASIS.NS,MphasiS Ltd.
MCX.NS,Multi Commodity Exchange of India Ltd.
NHPC.NS,NHPC Ltd.
NLCINDIA.NS,NLC India Ltd.
NMDC.NS,NMDC Ltd.
NTPCGREEN.NS,NTPC Green Energy Ltd.
NATIONALUM.NS,National Aluminium Co. Ltd.
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.
OBEROIRLTY.NS,Oberoi Realty Ltd.
OIL.NS,Oil India Ltd.
PAYTM.NS,One 97 Communications Ltd.
OFSS.NS,Oracle Financial Services Software Ltd.
POLICYBZR.NS,PB Fintech Ltd.
PIIND.NS,PI Industries Ltd.
PAGEIND.NS,Page Industries Ltd.
PATANJALI.NS,Patanjali Foods Ltd.
PERSISTENT.NS,Persistent Systems Ltd.
PETRONET.NS,Petronet LNG Ltd.
PHOENIXLTD.NS,Phoenix Mills Ltd.
POLYCAB.NS,Polycab India Ltd.
PREMIERENE.NS,Premier Energies Ltd.
PRESTIGE.NS,Prestige Estates Projects Ltd.
RADICO.NS,Radico Khaitan Ltd.
RVNL.NS,Rail Vikas Nigam Ltd.
SBICARD.NS,SBI Cards and Payment Services Ltd.
SJVN.NS,SJVN Ltd.
SRF.NS,SRF Ltd.
SCHAEFFLER.NS,Schaeffler India Ltd.
SAIL.NS,Steel Authority of India Ltd.
SUNDARMFIN.NS,Sundaram Finance Ltd.
SUPREMEIND.NS,Supreme Industries Ltd.
SUZLON.NS,Suzlon Energy Ltd.
SWIGGY.NS,Swiggy Ltd.
TATACOMM.NS,Tata Communications Ltd.
TATAELXSI.NS,Tata Elxsi Ltd.
TATAINVEST.NS,Tata Investment Corporation Ltd.
NIACL.NS,The New India Assurance Company Ltd.
THERMAX.NS,Thermax Ltd.
TORNTPOWER.NS,Torrent Power Ltd.
TIINDIA.NS,Tube Investments of India Ltd.
UNOMINDA.NS,UNO Minda Ltd.
UPL.NS,UPL Ltd.
UBL.NS,United Breweries Ltd.
VMM.NS,Vishal Mega Mart Ltd.
IDEA.NS,Vodafone Idea Ltd.
VOLTAS.NS,Voltas Ltd.
WAAREEENER.NS,Waaree Energies Ltd.
YESBANK.NS,Yes Bank Ltd.
