Symbol,Name
ACMESOLAR.NS,ACME Solar Holdings Ltd.
AADHARHFC.NS,Aadhar Housing Finance Ltd.
AARTIIND.NS,Aarti Industries Ltd.
AAVAS.NS,Aavas Financiers Ltd.
ACE.NS,Action Construction Equipment Ltd.
ACUTAAS.NS,Acutaas Chemicals Ltd.
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.
ABREL.NS,Aditya Birla Real Estate Ltd.
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.
CPPLUS.NS,Aditya Infotech Ltd.
AEGISLOG.NS,Aegis Logistics Ltd.
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.
AFCONS.NS,Afcons Infrastructure Ltd.
AFFLE.NS,Affle 3i Ltd.
ABDL.NS,Allied Blenders and Distillers Ltd.
ARE&M.NS,Amara Raja Energy & Mobility Ltd.
AMBER.NS,Amber Enterprises India Ltd.
ANANDRATHI.NS,Anand Rathi Wealth Ltd.
ANANTRAJ.NS,Anant Raj Ltd.
ANGELONE.NS,Angel One Ltd.
ANURAS.NS,Anupam Rasayan India Ltd.
APTUS.NS,Aptus Value Housing Finance India Ltd.
ASAHIINDIA.NS,Asahi India Glass Ltd.
ASTERDM.NS,Aster DM Healthcare Ltd.
ATHERENERG.NS,Ather Energy Ltd.
ATUL.NS,Atul Ltd.
BEML.NS,BEML Ltd.
BLS.NS,BLS International Services Ltd.
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.
BANDHANBNK.NS,Bandhan Bank Ltd.
BATAINDIA.NS,Bata India Ltd.
BAYERCROP.NS,Bayer Cropscience Ltd.
BELRISE.NS,Belrise Industries Ltd.
BIKAJI.NS,Bikaji Foods International Ltd.
BSOFT.NS,Birlasoft Ltd.
BLUEDART.NS,Blue Dart Express Ltd.
BLUEJET.NS,Blue Jet Healthcare Ltd.
BBTC.NS,Bombay Burmah Trading Corporation Ltd.
FIRSTCRY.NS,Brainbees Solutions Ltd.
BRIGADE.NS,Brigade Enterprises Ltd.
MAPMYINDIA.NS,C.E. Info Systems Ltd.
CCL.NS,CCL Products (I) Ltd.
CESC.NS,CESC Ltd.
CIEINDIA.NS,CIE Automotive India Ltd.
CANFINHOME.NS,Can Fin Homes Ltd.
CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.
CGCL.NS,Capri Global Capital Ltd.
CARBORUNIV.NS,Carborundum Universal Ltd.
CARTRADE.NS,Cartrade Tech Ltd.
CASTROLIND.NS,Castrol India Ltd.
CEATLTD.NS,Ceat Ltd.
CEMPRO.NS,Cemindia Projects Ltd.
CENTRALBK.NS,Central Bank of India
CDSL.NS,Central Depository Services (India) Ltd.
CHALET.NS,Chalet Hotels Ltd.
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.
CHOICEIN.NS,Choice International Ltd.
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.
CUB.NS,City Union Bank Ltd.
CLEAN.NS,Clean Science and Technology Ltd.
COHANCE.NS,Cohance Lifesciences Ltd.
CAMS.NS,Computer Age Management Services Ltd.
CONCORDBIO.NS,Concord Biotech Ltd.
CRAFTSMAN.NS,Craftsman Automation Ltd.
CREDITACC.NS,CreditAccess Grameen Ltd.
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.
CYIENT.NS,Cyient Ltd.
DCMSHRIRAM.NS,DCM Shriram Ltd.
DOMS.NS,DOMS Industries Ltd.
DATAPATTNS.NS,Data Patterns (India) Ltd.
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR.NS,Deepak Nitrite Ltd.
DELHIVERY.NS,Delhivery Ltd.
DEVYANI.NS,Devyani International Ltd.
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.
EIDPARRY.NS,E.I.D. Parry (India) Ltd.
EIHOTEL.NS,EIH Ltd.
ELECON.NS,Elecon Engineering Co. Ltd.
ELGIEQUIP.NS,Elgi Equipments Ltd.
EMAMILTD.NS,Emami Ltd.
EMCURE.NS,Emcure Pharmaceuticals Ltd.
