Symbol,Name
1332.T,Nissui Corp.
1605.T,Inpex Corp.
1721.T,Comsys Holdings Corp.
1801.T,Taisei Corp.
1802.T,Obayashi Corp.
1803.T,Shimizu Corp.
1808.T,Haseko Corp.
1812.T,Kajima Corp.
1925.T,"Daiwa House Ind. Co., Ltd."
1928.T,"Sekisui House, Ltd."
1963.T,JGC Holdings Corp.
2002.T,Nisshin Seifun Group Inc.
2269.T,"Meiji Holdings Co., Ltd."
2282.T,NH Foods Ltd.
2413.T,"M3, Inc."
2432.T,"Dena Co., Ltd."
2501.T,Sapporo Holdings Ltd.
2502.T,"Asahi Group Holdings, Ltd."
2503.T,"Kirin Holdings Co., Ltd."
2768.T,Sojitz Corp.
2801.T,Kikkoman Corp.
2802.T,"Ajinomoto Co., Inc."
285A.T,Kioxia Holdings Corp.
2871.T,Nichirei Corp.
2914.T,Japan Tobacco Inc.
3086.T,"J.Front Retailing Co., Ltd."
3092.T,"ZOZO, Inc."
3099.T,Isetan Mitsukoshi Holdings Ltd.
3289.T,Tokyu Fudosan Holdings Corp.
3382.T,"Seven & I Holdings Co., Ltd."
3401.T,Teijin Ltd.
3402.T,"Toray Industries, Inc."
3405.T,"Kuraray Co., Ltd."
3407.T,Asahi Kasei Corp.
3436.T,SUMCO Corp.
3659.T,"Nexon Co., Ltd."
3697.T,Shift Inc.
3861.T,Oji Holdings Corp.
4004.T,Resonac Holdings Corp.
4005.T,"Sumitomo Chemical Co., Ltd."
4021.T,Nissan Chemical Corp.
4042.T,Tosoh Corp.
4043.T,Tokuyama Corp.
4061.T,"Denka Co., Ltd."
4062.T,"Ibiden Co., Ltd."
4063.T,"Shin-Etsu Chemical Co., Ltd."
4151.T,"Kyowa Kirin Co., Ltd."
4183.T,"Mitsui Chemicals, Inc."
4188.T,Mitsubishi Chemical Group Corp.
4208.T,Ube Corp.
4307.T,"Nomura Research Institute, Ltd."
4324.T,Dentsu Group Inc.
4385.T,"Mercari, Inc."
4452.T,Kao Corp.
4502.T,"Takeda Pharmaceutical Co., Ltd."
4503.T,Astellas Pharma Inc.
4506.T,"Sumitomo Pharma Co., Ltd."
4507.T,"Shionogi & Co., Ltd."
4519.T,"Chugai Pharmaceutical Co., Ltd."
4523.T,"Eisai Co., Ltd."
4543.T,Terumo Corp.
4568.T,"Daiichi Sankyo Co., Ltd."
4578.T,"Otsuka Holdings Co., Ltd."
4661.T,"Oriental Land Co., Ltd."
4689.T,LY Corp.
4704.T,Trend Micro Inc.
4751.T,"Cyberagent, Inc."
4755.T,"Rakuten Group, Inc."
4901.T,Fujifilm Holdings Corp.
4902.T,"Konica Minolta, Inc."
4911.T,"Shiseido Co., Ltd."
5019.T,"Idemitsu Kosan Co., Ltd."
5020.T,"Eneos Holdings, Inc."
5101.T,"The Yokohama Rubber Co., Ltd."
5108.T,Bridgestone Corp.
5201.T,AGC Inc.
5214.T,"Nippon Electric Glass Co., Ltd."
5233.T,Taiheiyo Cement Corp.
5301.T,"Tokai Carbon Co., Ltd."
5332.T,Toto Ltd.
5333.T,NGK Corp.
5401.T,Nippon Steel Corp.
5406.T,"Kobe Steel, Ltd."
5411.T,"JFE Holdings, Inc."
543A.T,Archion Corp.
5631.T,"The Japan Steel Works, Ltd."
5706.T,"Mitsui Kinzoku Co., Ltd."
5711.T,Mitsubishi Materials Corp.
5713.T,"Sumitomo Metal Mining Co., Ltd."
5714.T,"Dowa Holdings Co., Ltd."
5801.T,"Furukawa Electric Co., Ltd."
5802.T,"Sumitomo Electric Ind., Ltd."
5803.T,Fujikura Ltd.
5831.T,"Shizuoka Financial Group, Inc."
6098.T,"Recruit Holdings Co., Ltd."
6103.T,Okuma Corp.
